Component,Reference ID,Countermeasure,Description,Source,State,Test result,Priority,Expiry date,Cost,Owner,Issue ID,MITRE reference,Scope,Standard baseline,Standard baseline section
Web Framework,C-ACCESS-CONTROLS,Implement proper access controls and authorization checks,"To establish and enforce robust access controls and authorization checks, 
follow these steps:

    * Verify user identities thoroughly before granting access to
      resources. Implement credential-based authentication systems, and,
      where feasible, enhance security with multi-factor authentication
      (MFA) mechanisms.
    * Adopt the principle of least privilege across your application.
      Ensure that users or systems have only the minimum level of access or
      permissions they need to fulfill their functions. Regularly review
      and adjust permissions to reflect changes in user roles or system
      configurations.
    * Utilize Access Control Lists (ACLs) to define specific permissions on
      resources. Clearly specify which users or system processes can access
      certain resources and the actions they are permitted to perform.
      Apply ACLs within the file system and within the application itself
      to control access more granically.
    * Incorporate authorization checks into your application code. Before
      executing critical operations or accessing sensitive data, verify
      that the requesting user has the necessary permissions. Implement
      these checks consistently throughout the application, particularly at
      entry points for sensitive operations.
    * Implement role-based access control (RBAC) or attribute-based access
      control (ABAC) to manage permissions systematically. Define roles or
      attributes that reflect the various levels of access required by
      different users or systems, and assign permissions accordingly. This
      structured approach helps in maintaining clarity and consistency in
      access control policies.

References to good security practices include the OWASP (Open Web 
Application Security Project) guidelines on access control and the use of 
established security frameworks and libraries that support secure 
authentication and authorization mechanisms. Regularly update and patch 
these libraries to address known vulnerabilities.",Created by Rules Engine,Recommended,Not tested,High,N/A,Low,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1032 - Multi-factor Authentication||ATT&CK Enterprise - M1018 - User Account Management||ATT&CK Enterprise - M1027 - Password Policies,Data Security||Operational Security,NIST 800-53 v5,AC-1 POLICY AND PROCEDURES||AC-3 ACCESS ENFORCEMENT||AC-6 LEAST PRIVILEGE
Web Framework,C-PROTECT-INTERNAL-REFS,Implement proper object references and binding,"Securing object references within your application is essential to 
mitigating risks related to unauthorized access, information leakage, or 
data manipulation. To properly manage object references and ensure secure 
access, follow these guidelines:

    * Utilize indirect references to manage access to sensitive objects and
      resources. Avoid using direct references such as database keys or
      file paths in user-facing components. Instead, employ indirect
      references or tokens that are mapped server-side to the actual
      resources. This approach limits exposure and reduces the risk of
      direct object reference attacks.
    * Implement binding verification mechanisms to confirm that the user or
      entity attempting to access an object is authorized to do so. This
      involves checking permissions against the user's session or
      authentication context before granting access to an object or
      executing a sensitive operation.
    * Incorporate secure session management techniques to tie object
      references to authenticated and authorized sessions. Ensure that each
      session has a defined scope of access, and validate session tokens
      against user actions to prevent unauthorized access attempts.
    * Encapsulate your objects, exposing only the necessary interfaces to
      the outside world while hiding the internal workings and sensitive
      data. This encapsulation ensures that users can only interact with
      objects through carefully controlled pathways, significantly reducing
      the risk of unintended access or manipulation.

By adopting these practices, developers can strengthen the security of 
their applications against a variety of threats stemming from improper 
object handling and access control. Always prioritize the principle of 
least privilege and ensure that access controls are rigorously applied and 
maintained across the application's components.",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Low,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1038 - Execution Prevention,Application Security||Data Security,NIST 800-53 v5,SC-8 TRANSMISSION CONFIDENTIALITY AND INTEGRITY
RESTful Web Service,C-RESTFUL-WEB-SERVICE-CNT-09,Implement proper session expiration and use secure session tokens,"To enhance the security of your RESTful Web Service, implement proper 
session expiration and use secure session tokens. Session expiration 
ensures that sessions are automatically terminated after a predefined 
period of inactivity, reducing the risk of session hijacking. Secure 
session tokens should be used to authenticate users and ensure that session 
identifiers are stored securely, transmitted over encrypted channels, and 
protected from unauthorized access or theft.

Implementation Steps:

   1. Set Session Expiry: Configure session expiration times based on user
      activity or inactivity. Ensure sessions automatically expire after a
      certain period or when the user logs out.
   2. Use Secure Tokens: Implement strong session tokens (e.g., JWT or
      OAuth tokens) that are cryptographically signed and include secure,
      random identifiers to prevent guessable session tokens.
   3. Secure Token Storage: Store session tokens in secure, HttpOnly
      cookies or in secure storage mechanisms to prevent cross-site
      scripting (XSS) or session hijacking.
   4. Use HTTPS: Ensure that all session tokens are transmitted over HTTPS
      to protect them from being intercepted during transmission.
   5. Revoke Tokens Upon Logout: Implement session token revocation
      mechanisms, ensuring tokens are invalidated when the user logs out or
      the session expires.

References:

    * JWT.io Introduction <https://jwt.io/introduction>",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1032 - Multi-factor Authentication,Application Security,NIST 800-53 v5,SC-23 SESSION AUTHENTICITY
RESTful Web Service,C-RESTFUL-WEB-SERVICE-CNT-09,Implement proper session expiration and use secure session tokens,"To enhance the security of your RESTful Web Service, implement proper 
session expiration and use secure session tokens. Session expiration 
ensures that sessions are automatically terminated after a predefined 
period of inactivity, reducing the risk of session hijacking. Secure 
session tokens should be used to authenticate users and ensure that session 
identifiers are stored securely, transmitted over encrypted channels, and 
protected from unauthorized access or theft.

Implementation Steps:

   1. Set Session Expiry: Configure session expiration times based on user
      activity or inactivity. Ensure sessions automatically expire after a
      certain period or when the user logs out.
   2. Use Secure Tokens: Implement strong session tokens (e.g., JWT or
      OAuth tokens) that are cryptographically signed and include secure,
      random identifiers to prevent guessable session tokens.
   3. Secure Token Storage: Store session tokens in secure, HttpOnly
      cookies or in secure storage mechanisms to prevent cross-site
      scripting (XSS) or session hijacking.
   4. Use HTTPS: Ensure that all session tokens are transmitted over HTTPS
      to protect them from being intercepted during transmission.
   5. Revoke Tokens Upon Logout: Implement session token revocation
      mechanisms, ensuring tokens are invalidated when the user logs out or
      the session expires.

References:

    * JWT.io Introduction <https://jwt.io/introduction>",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Hugo Ponthieu,,ATT&CK Enterprise - M1032 - Multi-factor Authentication,Application Security,NIST 800-53 v5,SC-23 SESSION AUTHENTICITY
RESTful Web Service,C-RESTFUL-WEB-SERVICE-CNT-04,Implement rate limiting and IP blocking,"To protect your RESTful Web Service from abuse, implement rate limiting and 
IP blocking mechanisms. Rate limiting controls the number of requests that 
a client can make in a specified time period, reducing the risk of 
denial-of-service (DoS) attacks and excessive resource consumption. IP 
blocking helps mitigate attacks from specific IP addresses by blocking 
malicious or abusive IPs after detecting suspicious behavior, such as 
multiple failed login attempts or high-frequency requests.

Implementation Steps:

   1. Define Rate Limits: Set appropriate rate limits for your API
      endpoints based on expected usage and resource constraints, ensuring
      a balance between usability and security.
   2. Dynamic Rate Limiting: Adjust rate limits based on traffic patterns
      or user behavior, allowing higher limits for trusted clients and
      lower limits for suspicious activity.
   3. Monitor IP Behavior: Track the frequency of requests from each IP
      address, and identify patterns indicative of abuse, such as repeated
      failed login attempts or excessive requests in a short time.
   4. Block Malicious IPs: Implement logic to automatically block or
      challenge requests from IP addresses that exhibit suspicious or
      abusive behavior, either temporarily or permanently.
   5. Provide Feedback: Ensure that clients receive appropriate feedback,
      such as HTTP 429 Too Many Requests status codes when rate limits are
      exceeded and HTTP 403 Forbidden status codes when IPs are blocked.

References:

    * OWASP Rate Limiting Cheat Sheet
      <https://cheatsheetseries.owasp.org/cheatsheets/Denial_of_Service_Cheat_Sheet.html>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1034 - Limit Hardware Installation,Network Security,NIST 800-53 v5,SC-50 Software-enforced Separation and Policy Enforcement
RESTful Web Service,C-RESTFUL-WEB-SERVICE-CNT-04,Implement rate limiting and IP blocking,"To protect your RESTful Web Service from abuse, implement rate limiting and 
IP blocking mechanisms. Rate limiting controls the number of requests that 
a client can make in a specified time period, reducing the risk of 
denial-of-service (DoS) attacks and excessive resource consumption. IP 
blocking helps mitigate attacks from specific IP addresses by blocking 
malicious or abusive IPs after detecting suspicious behavior, such as 
multiple failed login attempts or high-frequency requests.

Implementation Steps:

   1. Define Rate Limits: Set appropriate rate limits for your API
      endpoints based on expected usage and resource constraints, ensuring
      a balance between usability and security.
   2. Dynamic Rate Limiting: Adjust rate limits based on traffic patterns
      or user behavior, allowing higher limits for trusted clients and
      lower limits for suspicious activity.
   3. Monitor IP Behavior: Track the frequency of requests from each IP
      address, and identify patterns indicative of abuse, such as repeated
      failed login attempts or excessive requests in a short time.
   4. Block Malicious IPs: Implement logic to automatically block or
      challenge requests from IP addresses that exhibit suspicious or
      abusive behavior, either temporarily or permanently.
   5. Provide Feedback: Ensure that clients receive appropriate feedback,
      such as HTTP 429 Too Many Requests status codes when rate limits are
      exceeded and HTTP 403 Forbidden status codes when IPs are blocked.

References:

    * OWASP Rate Limiting Cheat Sheet
      <https://cheatsheetseries.owasp.org/cheatsheets/Denial_of_Service_Cheat_Sheet.html>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Hugo Ponthieu,,ATT&CK Enterprise - M1034 - Limit Hardware Installation,Network Security,NIST 800-53 v5,SC-50 Software-enforced Separation and Policy Enforcement
PostgreSQL,C-POSTGRESQL-CNT-POSTGRES-07,Implement rate limiting and resource throttling,"Implement and regularly update rate limiting and resource throttling for 
PostgreSQL to protect against denial-of-service (DoS) attacks and resource 
exhaustion. This control ensures that query rates and system resource usage 
(CPU, memory, disk I/O) are constrained within defined limits, preserving 
database availability and performance even under heavy load or attack 
conditions. Developers and DevOps engineers should integrate rate limiting 
into the query processing and utilize OS-level or middleware resource 
controls, continuously monitoring system performance to adjust thresholds 
as needed.

Implementation Steps:

Define Acceptable Thresholds:
Establish baseline limits for the number of queries, connections, and 
resource usage (CPU, memory, I/O) that the system can handle under normal 
operation.

Implement Query Rate Limiting:
Use PostgreSQL settings or middleware solutions to limit the rate at which 
queries are accepted from clients, preventing overload during traffic 
spikes.

Configure Resource Throttling:
Apply OS-level resource controls (e.g., cgroups on Linux) or similar 
mechanisms to restrict the CPU and memory usage of PostgreSQL processes, 
ensuring that no single query or connection can monopolize system 
resources.

Monitor and Audit:
Continuously track performance metrics and log query activities. Regularly 
audit resource consumption and adjust thresholds to maintain optimal 
performance and security.

References:

    * PostgreSQL Performance Tips
      <https://www.postgresql.org/docs/current/performance-tips.html>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1021 - Restrict Web-Based Content,Application Security,NIST 800-53 v5,SC-5 DENIAL-OF-SERVICE PROTECTION
Redis Server,C-REDIS-SERVER-CNT-REDIS-04,Implement rate limiting and resource throttling,"Implement and regularly update rate limiting and resource throttling for 
Redis Server to protect against denial-of-service attacks and resource 
exhaustion. This control ensures that incoming requests are controlled and 
that system resource usage (e.g., CPU, memory, I/O) is constrained, 
preventing overload caused by excessive or malicious traffic. Developers 
and DevOps engineers should integrate rate limiting policies and resource 
throttling mechanisms into their Redis deployment using built-in 
configurations or external middleware, and continuously monitor system 
performance to adjust thresholds as needed.

Implementation Steps:

Define Rate Limiting Policies:
Establish acceptable thresholds for incoming requests based on system 
capacity and expected workloads.

Implement Rate Limiting Mechanisms:
Utilize built-in Redis configurations or deploy external proxies/load 
balancers that enforce rate limiting on API calls and client connections.

Apply Resource Throttling Controls:
Configure settings to limit resource consumption (e.g., CPU, memory, and 
I/O usage) per client or connection to prevent a single source from 
overloading the system.

Monitor and Audit:
Continuously monitor performance metrics and log access patterns. Regularly 
review and adjust rate limiting and throttling settings to ensure they 
remain effective against emerging traffic patterns or attack vectors.

References:

    * OWASP API Security Project
      <https://owasp.org/www-project-api-security/>",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1056 - Pre-compromise,Application Security,NIST 800-53 v5,SC-5 DENIAL-OF-SERVICE PROTECTION
Virtual Machine,C-VIRTUAL-MACHINE-CNT-07,Implement rate limiting and resource throttling to prevent DoS attacks on VMs,"To mitigate the risk of Denial of Service (DoS) attacks on virtual 
machines, implement rate limiting and resource throttling mechanisms. 
Attackers can overload VM resources by consuming excessive CPU, memory, 
disk I/O, or network bandwidth, leading to degraded performance or service 
outages. By enforcing limits on resource usage, critical workloads remain 
operational even under attack conditions.

Steps to Implement:

   1. Configure VM resource quotas for CPU, memory, disk I/O, and network
      bandwidth to prevent resource exhaustion.
   2. Enable rate limiting on network traffic to control excessive inbound
      or outbound requests.
   3. Implement automated scaling policies to adjust resources dynamically
      based on demand.
   4. Monitor VM performance and set up alerts for unusual spikes in
      resource consumption.
   5. Use firewall rules and intrusion detection systems to block malicious
      traffic patterns.

References:

    * VMware vSphere Resource Management
      <https://docs.vmware.com/en/VMware-vSphere/7.0/com.vmware.vsphere.resmgmt.doc/GUID-98BD5A8A-260A-494F-BAAE-74781F5C4B87.html>",Created by Rules Engine,Recommended,Not tested,High,N/A,High,Hugo Ponthieu,,ATT&CK Enterprise - M1052 - User Account Control,Cloud Security,NIST 800-53 v5,SC-5 DENIAL-OF-SERVICE PROTECTION
Cloudflare,C-CLOUDFLARE-04,Implement regular security configuration audits,"Conducting regular security configuration audits ensures that the system's 
security settings are correctly configured and adhere to best practices.

Steps to Implement:

   1. Develop a checklist of security configurations based on industry best
      practices and compliance requirements.
   2. Use automated tools to scan for misconfigurations in your system.
      Tools like CIS-CAT, Nessus, or OpenSCAP can help identify issues.
   3. Regularly review firewall rules, access controls, and encryption
      settings to ensure they meet security standards.
   4. Implement a process for correcting any misconfigurations identified
      during the audits.
   5. Document and track changes to the system configuration to maintain an
      audit trail.
   6. Conduct periodic training for administrators on secure configuration
      practices.

By following these steps, you can significantly reduce the risk of security 
breaches due to misconfigured settings.",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Hugo Ponthieu,,ATT&CK Enterprise - M1047 - Audit,Application Security||Data Security,NIST 800-53 v5,CM-6 Configuration Settings
PostgreSQL,C-POSTGRESQL-CNT-POSTGRES-01,Implement robust authentication and role-based access control,"Implement and regularly update robust authentication and role-based access 
control for PostgreSQL to ensure that only verified users with appropriate 
privileges can access and manage the database. This control mandates the 
use of strong authentication mechanisms (such as multi-factor 
authentication and complex passwords) and granular role-based access 
control (RBAC) to restrict permissions according to the principle of least 
privilege. Developers and DevOps engineers should integrate these practices 
into the PostgreSQL deployment using centralized identity management 
systems and enforce policies via configuration management tools.

Implementation Steps:

Enforce Strong Authentication:
Configure PostgreSQL to require strong passwords and, where applicable, 
integrate with external identity providers (e.g., LDAP, Active Directory) 
that support multi-factor authentication.

Implement Role-Based Access Control (RBAC):
Define roles with specific permissions and assign users only the privileges 
necessary for their responsibilities. Regularly review and adjust roles to 
ensure they align with current security policies.

Centralize Authentication Management:
Leverage centralized identity management systems to streamline user 
provisioning, password policies, and access audits across all PostgreSQL 
instances.

Monitor and Audit:
Enable detailed logging of authentication attempts and role changes. 
Periodically audit access logs and RBAC configurations to ensure compliance 
and detect potential anomalies.

References:

    * OWASP Authentication Cheat Sheet
      <https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1043 - Credential Access Protection,Application Security,NIST 800-53 v5,SC-23 SESSION AUTHENTICITY
RESTful Web Service,C-RESTFUL-WEB-SERVICE-CNT-06,Implement role-based access control (RBAC),"To enforce the principle of least privilege and ensure users can only 
access resources appropriate to their role, implement Role-Based Access 
Control (RBAC) in your RESTful Web Service. RBAC assigns permissions to 
roles rather than individual users, making it easier to manage user access 
at scale. Each user is assigned one or more roles, and those roles 
determine what actions the user is allowed to perform within the service.

Implementation Steps:

   1. Define Roles: Identify and define roles within your system (e.g.,
      Admin, User, Moderator) based on your service’s requirements and user
      needs.
   2. Assign Permissions to Roles: Map specific actions or resources (e.g.,
      read, write, delete) to each role to control what users can access
      and modify.
   3. Assign Roles to Users: Assign users to roles based on their job
      responsibilities and the level of access they require.
   4. Enforce RBAC at the API Level: Ensure that each API endpoint checks
      the user’s roles and verifies whether they have the necessary
      permissions to perform the requested action.
   5. Monitor and Review Role Assignments: Regularly review and update user
      roles and permissions to ensure that they align with organizational
      changes and security best practices.

References:

    * OWASP RBAC Cheat Sheet
      <https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1026 - Privileged Account Management,Application Security,NIST 800-53 v5,PS-6 Access Agreements
RESTful Web Service,C-RESTFUL-WEB-SERVICE-CNT-06,Implement role-based access control (RBAC),"To enforce the principle of least privilege and ensure users can only 
access resources appropriate to their role, implement Role-Based Access 
Control (RBAC) in your RESTful Web Service. RBAC assigns permissions to 
roles rather than individual users, making it easier to manage user access 
at scale. Each user is assigned one or more roles, and those roles 
determine what actions the user is allowed to perform within the service.

Implementation Steps:

   1. Define Roles: Identify and define roles within your system (e.g.,
      Admin, User, Moderator) based on your service’s requirements and user
      needs.
   2. Assign Permissions to Roles: Map specific actions or resources (e.g.,
      read, write, delete) to each role to control what users can access
      and modify.
   3. Assign Roles to Users: Assign users to roles based on their job
      responsibilities and the level of access they require.
   4. Enforce RBAC at the API Level: Ensure that each API endpoint checks
      the user’s roles and verifies whether they have the necessary
      permissions to perform the requested action.
   5. Monitor and Review Role Assignments: Regularly review and update user
      roles and permissions to ensure that they align with organizational
      changes and security best practices.

References:

    * OWASP RBAC Cheat Sheet
      <https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Medium,Hugo Ponthieu,,ATT&CK Enterprise - M1026 - Privileged Account Management,Application Security,NIST 800-53 v5,PS-6 Access Agreements
Virtual Machine,C-VIRTUAL-MACHINE-CNT-01,Implement Role-Based Access Control (RBAC) and enforce strong authentication mechanisms,"To protect virtual machines from unauthorized access, enforce Role-Based 
Access Control (RBAC) and strong authentication mechanisms. RBAC ensures 
that users have only the necessary permissions based on their roles, 
minimizing the risk of privilege misuse. Strong authentication, such as 
multi-factor authentication (MFA), adds an extra layer of security against 
credential-based attacks.

Steps to Implement:

   1. Define user roles and assign the minimum necessary permissions
      following the principle of least privilege.
   2. Use built-in RBAC features in cloud platforms (e.g., Azure RBAC, AWS
      IAM, vSphere Roles) to manage access control.
   3. Enable multi-factor authentication (MFA) for all administrative and
      privileged accounts.
   4. Regularly review access logs and audit permissions to remove
      unnecessary privileges.
   5. Implement Just-in-Time (JIT) access to limit the duration of
      administrative sessions.

References:

    * VMware vSphere Permissions and Roles
      <https://docs.vmware.com/en/VMware-vSphere/6.7/com.vmware.vsphere.security.doc/GUID-FAA074CC-E8C9-4F13-ABCF-6CF7F15F04EE.html>",Created by Rules Engine,Recommended,Not tested,Medium,N/A,High,Hugo Ponthieu,,ATT&CK Enterprise - M1022 - Restrict File and Directory Permissions,Application Security,NIST 800-53 v5,PS-6 Access Agreements
Kubernetes Namespace,C-KUBERNETES-NAMESPACE-01,Implement Role-Based Access Control (RBAC) Auditing and Least Privilege,"Regularly audit Role-Based Access Control (RBAC) configurations to ensure 
that roles and role bindings are set according to the principle of least 
privilege.

1. Review all roles and role bindings to ensure they adhere to the least 
privilege principle.

2. Implement automated tools to monitor and alert on any deviations from 
RBAC best practices.

3. Regularly update and enforce RBAC policies as per security guidelines.

4. Conduct periodic reviews and audits of the RBAC configurations.",Created by Rules Engine,Recommended,Not tested,High,N/A,High,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1026 - Privileged Account Management,Application Security,NIST 800-53 v5,AC-6 LEAST PRIVILEGE
PostgreSQL,C-POSTGRESQL-CNT-POSTGRES-08,Implement secure backup procedures with encryption and access controls,"Implement and regularly update secure backup procedures with encryption and 
access controls for PostgreSQL to protect backup data against unauthorized 
access and tampering. This control ensures that all backup files are 
encrypted using strong cryptographic standards (e.g., AES-256) and that 
access to these backups is restricted to authorized personnel only. 
Developers and DevOps engineers should integrate secure backup mechanisms 
into their PostgreSQL deployment process using automated backup tools and 
centralized management systems to enforce encryption and access policies 
consistently.

Implementation Steps:

Encrypt Backup Files:
Configure backup tools to encrypt PostgreSQL backup files using robust 
encryption algorithms before storage or transmission.

Enforce Access Controls:
Use OS-level permissions, cloud storage access policies, or centralized 
management tools to restrict backup file access to authorized users only.

Automate Backup Processes:
Integrate automated backup solutions that enforce encryption and access 
controls, ensuring consistent and secure backup routines across all 
PostgreSQL instances.

Monitor and Audit Backup Procedures:
Regularly review backup logs and conduct audits to verify that encryption 
and access controls are maintained and that backup data remains secure.

References:

    * PostgreSQL Backup and Restore Documentation
      <https://www.postgresql.org/docs/current/backup.html>",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1056 - Pre-compromise,Data Security,NIST 800-53 v5,CP-9 System Backup
"*.beep,ovh",C-IMPLEMENT-SECURE-PROTOCOLS-AND-ACCESS-CONTROLS,Implement Secure Protocols and Access Controls,"Implementing secure protocols and robust access controls is essential for 
protecting sensitive data and system resources from unauthorized access and 
breaches. Secure protocols ensure data integrity and confidentiality during 
transmission, while access controls limit user privileges and activities 
based on predefined policies.

Steps to Implement Secure Protocols and Access Controls

Assess Current Security Posture:

    * Conduct an audit of existing network and application protocols,
      authentication methods, and access controls.
    * Identify potential vulnerabilities or outdated practices that could
      compromise security.

Implement Secure Communication Protocols:

    * Upgrade all network communications to use secure protocols such as
      HTTPS for web traffic, TLS for email, and SSH instead of Telnet for
      remote administration.
    * Configure SSL/TLS settings to use strong ciphers and the latest
      protocol versions.

Define Access Control Policies:

    * Establish comprehensive access control policies that define who can
      access what resources and under what conditions.
    * Consider both physical and logical access controls, incorporating
      factors like job roles, data sensitivity, and environmental context.

Apply the Principle of Least Privilege:

    * Ensure that all user accounts, especially those with administrative
      access, only have the minimum necessary permissions to perform their
      tasks.
    * Regularly review and adjust permissions to ensure they are aligned
      with current job requirements and organizational policies.

Use Multi-Factor Authentication (MFA):

    * Implement MFA for accessing critical systems, particularly for remote
      access and administrative interfaces.
    * Choose authentication factors that include something you know
      (password), something you have (security token), and something you
      are (biometrics).

Secure Authentication Mechanisms:

    * Store user credentials securely using salted hashing techniques.
    * Avoid using default credentials and enforce strong password policies
      that require a mix of letters, numbers, and special characters.

Implement Role-Based Access Control (RBAC):

    * Define roles based on the access needs of different user groups
      within your organization.
    * Assign permissions to roles rather than individuals to simplify
      management and ensure consistent application of security policies.

Monitor and Log Access Events:

    * Set up comprehensive logging for access events to track who accessed
      what resources and when.
    * Use automated monitoring tools to detect and alert on unusual access
      patterns or unauthorized access attempts.

Regularly Review and Update Security Configurations:

    * Schedule regular reviews and updates of security protocols, access
      controls, and policies to adapt to new threats or changes in the
      organization.
    * Include security considerations in your change management processes
      to ensure ongoing compliance with best practices.

Educate and Train Employees:

    * Provide regular training on security awareness and protocols to all
      employees.
    * Specifically train IT staff and system administrators on the latest
      security practices and tools.

Good Security Practices Reference

    * Follow guidelines from organizations like the National Institute of
      Standards and Technology (NIST) for recommendations on secure
      protocols and access controls.
    * Refer to the ISO/IEC 27001 standard for information security
      management best practices that include secure communications and
      access management.

By carefully implementing secure protocols and robust access controls, 
organizations can significantly enhance their defense against unauthorized 
access and data breaches, ensuring the security and integrity of their 
information systems.",Created by Rules Engine,Recommended,Not tested,High,N/A,Medium,Hugo Ponthieu,,ATT&CK Enterprise - M1041 - Encrypt Sensitive Information,Data Security||Network Security,NIST 800-53 v5,AC-3 ACCESS ENFORCEMENT||SC-13 Cryptographic Protection
Web Framework,C-SESSION-MANAGEMENT,Implement secure session management including using built-in mechanisms,"To safeguard your application against unauthorized access and session-based 
attacks, it's critical to implement robust session management practices. 
Follow these guidelines to ensure secure session management:

    * Transmit session IDs exclusively over HTTPS to prevent interception.
      Ensure your entire site is accessible only through HTTPS to avoid
      exposing sensitive information.
    * Adopt server-side session management. Store session identifiers
      securely on the server and avoid exposing them in URLs or on the
      client side.
    * Implement session expiration policies. Set sessions to expire after a
      predetermined period of inactivity and enforce absolute timeout
      limits to further reduce the risk of unauthorized session use.
    * When managing sessions with cookies, apply the HttpOnly and Secure
      flags to prevent access to the session cookie via client-side scripts
      and ensure cookies are sent only over secure connections,
      respectively. Use the SameSite cookie attribute to mitigate CSRF
      attacks.
    * Regularly check session integrity and user authenticity through
      session metadata. This could include validation checks against user
      agent strings, IP addresses, or other session tokens that ensure the
      session has not been hijacked.
    * Ensure sessions are securely terminated by deleting session data on
      the server and clearing session cookies on the client when the user
      logs out or the session expires. This helps prevent session hijacking
      and reuse.
    * To combat session fixation, generate a new session ID with a new
      cookie after user login to replace the old session ID that could have
      been compromised.
    * Maintain logs of session-related events and actively monitor for
      signs of attack, such as repeated failed login attempts or suspicious
      session activity, to quickly identify and respond to security
      threats.

By adhering to these steps, developers can create a more secure environment 
for users, protecting them from session hijacking, session fixation, and 
CSRF attacks among other session-related vulnerabilities.",Created by Rules Engine,Recommended,Not tested,Medium,N/A,Low,Thééééééééo Tchilinguirianriaunriuanrn,,ATT&CK Enterprise - M1018 - User Account Management||ATT&CK Enterprise - M1039 - Environment Variable Permissions,Application Security,NIST 800-53 v5,AC-12 SESSION TERMINATION||AU-14 Session Audit||SC-10 NETWORK DISCONNECT||SC-23 SESSION AUTHENTICITY
